method,weather,map50,map50-95,f1,f1_class1,f1_class2,f1_class3
Rotate(5),01,3.014,6.733,4.173,4.324,3.576,4.875
Rotate(5),23,2.518,6.119,2.372,3.628,1.368,2.88
Rotate(5),45,1.909,3.866,1.643,1.898,1.609,1.591
HistEq+Contrast(0.5),01,0.647,2.729,1.141,4.824,0.609,-0.54
HistEq+Contrast(0.5),23,1.905,4.836,2.487,2.623,0.803,4.14
HistEq+Contrast(0.5),45,1.82,5.063,1.284,0.592,1.865,0.996
HE+C+R5,01,2.742,6.972,3.725,5.072,1.722,4.938
HE+C+R5,23,1.195,3.633,0.264,-0.786,1.493,-0.391
HE+C+R5,45,2.048,3.186,1.926,4.711,1.496,0.123
