method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
r5(050%),01,-0.195,-1.75,-1.504
r5(050%),23,0.394,20.528,66.937
r5(050%),45,-3.288,12.192,26.121
r5(150%),01,6.584,-4.93,-5.158
r5(150%),23,-1.603,29.771,81.799
r5(150%),45,1.22,17.41,54.924
r5(250%),01,4.583,-4.019,-3.571
r5(250%),23,-3.529,7.214,14.495
r5(250%),45,3.061,-0.374,13.475
