method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
rotate(5),01,-2.204,27.695,50.0
rotate(5),23,1.423,6.548,9.718
rotate(5),45,-3.077,16.348,40.0
"rotate(5,20)",01,-5.458,11.582,29.248
"rotate(5,20)",23,-4.921,28.254,60.317
"rotate(5,20)",45,1.179,21.674,22.542
he+contrast,01,3.673,7.422,10.446
he+contrast,23,-3.071,2.36,11.311
he+contrast,45,6.342,21.793,38.664
he+c+rotate,01,1.643,5.068,4.378
he+c+rotate,23,1.018,17.656,37.099
he+c+rotate,45,2.187,3.026,5.242
