method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
histeq,01,-1.172,13.333,22.958
histeq,23,0.0,16.289,33.55
histeq,45,-7.227,40.035,101.005
gaussian(100200),01,-0.791,-1.702,-7.49
gaussian(100200),23,-0.198,18.111,80.376
gaussian(100200),45,-1.0,2.083,8.929
gaussian(1050),01,-6.855,2.038,2.043
gaussian(1050),23,3.651,4.206,17.111
gaussian(1050),45,1.2,-10.972,-20.251
rotate(5),01,-1.174,22.054,66.255
rotate(5),23,7.959,31.299,58.302
rotate(5),45,0.407,52.407,172.277
rotate(20),01,0.986,1.777,1.908
rotate(20),23,-3.08,35.556,92.117
rotate(20),45,-8.762,25.235,71.064
contrast(0.5),01,-4.398,11.649,40.286
contrast(0.5),23,-6.226,50.091,164.537
contrast(0.5),45,-4.288,-2.755,0.315
