method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
histeq,01,4.082,1.891,1.893
histeq,23,0.198,25.208,61.141
histeq,45,0.402,0.948,0.828
guassian(100200),01,2.794,11.923,21.082
guassian(100200),23,0.402,2.514,2.746
guassian(100200),45,0.0,0.477,0.716
guassian(1050),01,-0.407,1.649,1.767
guassian(1050),23,1.004,1.139,1.368
guassian(1050),45,1.6,1.43,1.551
rotate(5),01,-4.078,16.867,33.029
rotate(5),23,0.996,23.161,58.421
rotate(5),45,-3.107,5.795,11.125
rotate(20),01,1.008,12.861,22.682
rotate(20),23,-6.312,23.973,31.878
rotate(20),45,0.403,16.984,31.05
contrast(0.5),01,5.533,2.512,2.512
contrast(0.5),23,2.222,15.722,29.395
contrast(0.5),45,1.61,11.765,26.479
