method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
histeq,01,-9.381,8.696,14.859
histeq,23,-8.381,38.544,170.934
histeq,45,-5.426,12.843,34.655
gaussian(100200),01,-6.367,17.054,41.386
gaussian(100200),23,8.471,14.307,29.784
gaussian(100200),45,1.4,-6.892,-14.266
gaussian(1050),01,-3.219,4.067,6.897
gaussian(1050),23,4.312,5.326,8.06
gaussian(1050),45,-3.748,2.056,8.717
rotate(5),01,2.222,30.0,83.102
rotate(5),23,-5.777,34.328,85.16
rotate(5),45,3.393,39.201,183.15
rotate(20),01,1.373,10.891,33.163
rotate(20),23,3.386,9.49,27.258
rotate(20),45,0.818,35.654,60.282
contrast(0.5),01,-5.466,6.857,17.111
contrast(0.5),23,-11.408,19.243,53.995
contrast(0.5),45,9.919,16.386,39.011
