method,weather,map50,map50-95,f1,f1_class1,f1_class2,f1_class3
rotate(5),01,18.289,20.222,18.659,12.935,15.28,26.351
rotate(5),23,14.537,24.679,17.863,24.249,14.525,17.002
rotate(5),45,15.259,21.594,18.447,23.661,19.075,14.406
HistEq+Contrast,01,25.336,20.492,23.964,17.13,22.576,31.119
HistEq+Contrast,23,15.116,25.064,18.421,31.25,13.822,14.715
HistEq+Contrast,45,8.489,14.851,7.975,9.96,10.411,3.581
HE+C+R5,01,25.99,33.333,25.926,14.458,25.248,36.944
HE+C+R5,23,8.197,17.716,11.592,15.799,7.891,12.425
HE+C+R5,45,11.345,19.175,11.061,9.403,14.408,9.091
