method,weather,%inc_auc,%inc_best_accuracy,%inc_max_f1
histeq,01,-7.471,7.49,10.114
histeq,23,-2.191,25.449,61.874
histeq,45,1.786,-0.327,15.789
gaussian(100200),01,-1.581,-4.342,1.365
gaussian(100200),23,1.957,2.743,4.501
gaussian(100200),45,5.625,9.296,12.099
gaussian(1050),01,3.233,7.471,17.344
gaussian(1050),23,-0.971,23.717,63.215
gaussian(1050),45,2.806,17.161,38.993
rotate(5),01,-0.967,15.362,20.749
rotate(5),23,2.648,16.667,33.618
rotate(5),45,-2.187,35.116,107.967
rotate(20),01,-2.642,10.564,27.973
rotate(20),23,1.215,3.108,4.011
rotate(20),45,9.053,7.407,10.437
contrast(0.5),01,1.883,13.081,20.188
contrast(0.5),23,-2.362,14.45,49.879
contrast(0.5),45,0.792,-5.014,-9.697
zoom(0.4),01,-5.182,20.755,69.69
zoom(0.4),23,-4.255,13.692,29.485
zoom(0.4),45,-4.99,9.446,26.261
